gene	score	species
Glyma.04G085600	0.7602860800409577	A. glycines
Glyma.07G021800	0.7238768881860991	A. glycines
Glyma.19G187100	0.7116727854997754	A. glycines
Glyma.10G162100	0.6910989733015445	A. glycines
Glyma.09G005700	0.6847370936185916	A. glycines
Glyma.06G290000	0.6720324051860506	A. glycines
Glyma.12G055400	0.6519832718578815	A. glycines
Glyma.07G178600	-0.6424856787603623	A. glycines
Glyma.08G156500	0.6217025841303646	A. glycines
Glyma.16G130900	0.6104929419596994	A. glycines
Glyma.06G195300	1.9303198460668691	S. litura
Glyma.12G059900	-0.9763935037163467	S. litura
Glyma.05G194700	0.9732547214083435	S. litura
Glyma.07G036400	0.9680425903992596	S. litura
Glyma.07G033100	-0.9661230976985793	S. litura
Glyma.07G034400	0.9580749413423479	S. litura
Glyma.06G175400	-0.9552800221843427	S. litura
